"league_transfer","country_transfer","avg_mv_diff_after_1year","count_players"
from_PO1_to_GB1,from_Portugal_to_England,8138158.0,19
from_DK1_to_GB1,from_Denmark_to_England,7864286.0,7
from_FR1_to_NL1,from_France_to_Netherlands,6369231.0,13
from_BE1_to_L1,from_Belgium_to_Germany,6285294.0,17
from_FR1_to_L1,from_France_to_Germany,5605556.0,27
from_BE1_to_GB1,from_Belgium_to_England,5306731.0,26
from_L1_to_BE1,from_Germany_to_Belgium,5242857.0,7
from_FR1_to_GB1,from_France_to_England,3851724.0,58
from_DK1_to_IT1,from_Denmark_to_Italy,3837500.0,8
from_BE1_to_FR1,from_Belgium_to_France,3800000.0,30
from_GB1_to_GB1,from_England_to_England,3429545.0,242
from_TR1_to_L1,from_Turkey_to_Germany,3385714.0,7
from_NL1_to_ES1,from_Netherlands_to_Spain,3247727.0,11
from_BE1_to_IT1,from_Belgium_to_Italy,3142188.0,16
from_ES1_to_IT1,from_Spain_to_Italy,3140909.0,22
from_PO1_to_FR1,from_Portugal_to_France,2927273.0,11
from_PO1_to_IT1,from_Portugal_to_Italy,2710000.0,10
from_IT1_to_ES1,from_Italy_to_Spain,2578947.0,19
from_IT1_to_NL1,from_Italy_to_Netherlands,2525000.0,14
from_GB1_to_BE1,from_England_to_Belgium,2391304.0,23
from_L1_to_IT1,from_Germany_to_Italy,2118750.0,16
from_PO1_to_RU1,from_Portugal_to_Russia,1960714.0,7
from_SC1_to_GB1,from_Scotland_to_England,1815000.0,20
from_GB1_to_NL1,from_England_to_Netherlands,1766176.0,17
from_NL1_to_FR1,from_Netherlands_to_France,1713636.0,11
from_GB1_to_FR1,from_England_to_France,1662903.0,31
from_NL1_to_IT1,from_Netherlands_to_Italy,1643382.0,34
from_FR1_to_FR1,from_France_to_France,1618194.0,180
from_L1_to_L1,from_Germany_to_Germany,1591142.0,127
from_NL1_to_BE1,from_Netherlands_to_Belgium,1416667.0,15
from_L1_to_NL1,from_Germany_to_Netherlands,1410156.0,32
from_ES1_to_ES1,from_Spain_to_Spain,1401523.0,197
